Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With wage or salary income,Margin of Error; Total: - With wage or salary income,Estimate; Total: - No wage or salary income,Margin of Error; Total: - No wage or salary income
Allegheny Center,1,870.0,93.0,635.0,91.0,235.0,59.0
Allegheny West,2,146.0,36.0,119.0,35.0,27.0,20.0
Allentown,3,1069.0,132.457540367,736.0,140.335312733,333.0,97.4935895329
Arlington,4,701.0,104.465305245,570.0,106.273232754,131.0,45.1995575199
Arlington Heights,5,144.0,59.0,99.0,60.0,45.0,30.0
Banksville,6,1946.0,229.222599235,1564.0,216.58485635,382.0,134.988888431
Bedford Dwellings,7,723.0,53.0,348.0,71.0,375.0,75.0
Beechview,8,3567.0,258.027130357,2719.0,255.476026272,848.0,149.207908637
Beltzhoover,9,848.0,156.057681644,556.0,128.152253199,292.0,111.33283433
Bloomfield,10,4571.0,205.494525475,3724.0,206.45822822,847.0,126.960623817
Bluff,11,240.0,47.0,193.0,46.872166581,47.0,27.0185121722
Bon Air,12,372.0,71.0,295.0,72.0,77.0,37.0
Brighton Heights,13,3222.0,192.234232123,2387.0,187.456661657,835.0,131.620667071
Brookline,14,5843.0,327.694980128,4545.0,329.622511368,1298.0,185.297058799
California-Kirkbride,15,333.0,38.0,206.0,39.0,127.0,42.0
Carrick,16,4301.0,277.613040039,3065.0,250.327785114,1236.0,186.550261325
Central Business District,17,1968.0,221.43847904,1501.0,200.761051999,467.0,130.751673029
Central Lawrenceville,18,2338.0,171.57214226,1721.0,161.424905142,617.0,117.643529359
Central Northside,19,1479.0,113.929802949,1066.0,107.605761928,413.0,72.0138875496
Central Oakland,20,1903.0,157.39758575,1648.0,158.347718645,255.0,90.2939643608
Chartiers City,21,271.0,60.0,186.0,63.0,85.0,47.0
Chateau,22,3.0,3.0,0.0,10.0,3.0,3.0
Crafton Heights,23,1677.0,126.795110316,1188.0,122.319254413,489.0,86.0987804791
Crawford-Roberts,24,1125.0,138.592929113,569.0,115.108644332,556.0,125.319591445
Duquesne Heights,25,1170.0,125.207827231,902.0,111.198021565,268.0,66.5732679084
